,ques,ans,ans2
26,株式会社タマスが展開している、卓球用品世界トップシェアを誇るブランドは何でしょう？,バタフライ,バタフライ
27,新聞三社連合が主催する囲碁のタイトル戦の名前にもなっている、碁盤の中央の点のことを漢字2文字で何というでしょう？,天元,てんげん
28,そのチーム名は1965年の創設時に当時の選手がよく通っていた喫茶店の名前に由来する、現在はJリーグ1部・J1に所属する長野県松本市近郊地域をホームタウンとするサッカーチームはどこでしょう？,松本山雅FC,まつもとやまが
29,源義経が家来の弁慶らとともに安宅の関所を通過する苦心談を描いた、歌舞伎十八番に数えられる演目は何でしょう？,勧進帳,かんじんちょう
30,「千早振る神無月ももはや跡二日の余波となった二十八日の午後三時頃に」という書き出しで始まる、言文一致文学の魁とされる二葉亭四迷の小説は何でしょう？,『浮雲』,うきぐも
31,バレーボールではサーブ権を持つ側が得点すること、テニスではサーブ権を持たない側がゲームを取ることを表す英単語は何でしょう？,ブレイク,ブレイク
32,代表的な著作に、理想郷の代名詞にもなっている『ユートピア』などがある、イギリスの思想家は誰でしょう？,トマス・モア,トマスモア
33,映画『エルム街の悪夢』で、夢の中に現れては右手の鉄の鉤爪で殺人を繰り返す殺人鬼の名前は何でしょう？,フレディ・クルーガー,フレディ
34,パリのエッフェル塔を嫌い、その姿を眺めずに済むからとエッフェル塔内のレストランで食事したことで知られる、『女の一生』『脂肪の塊』などを著したフランスの作家は誰でしょう？,ギ・ド・モーパッサン,モーパッサン
35,柴田一郎、亀川千代、坂本慎太郎らにより結成され、代表曲に『空洞です』『美しい』などがある、2010年に『完全に出来上がってしまったと感じました』として解散したロックバンドは何でしょう？,ゆらゆら帝国,ゆらゆらていこく
36,2017年7月13日に肝臓ガンのため亡くなった、投獄中の2010年に中国在住の中国人として初めてノーベル賞を受賞した人権活動家は誰でしょう？,劉暁波,りゅうぎょうは
37,小料理店「花の里」の女将・宮部たまきとの結婚歴がある、ドラマ『相棒』シリーズで水谷豊が演じる主人公の刑事の名前は何でしょう？,杉下右京,すぎしたうきょう
38,"2010年の日本振興銀行破綻の際に初めて適用された、金融機関が破綻した時、預金保険機構が元本の1,000万円とその利子を限度として、預金者に保険金を支払う制度を英語で何というでしょう？",ペイオフ,ペイオフ
39,228年に中国の蜀と魏の間で起きた戦いで、その敗戦の責任により蜀の馬謖が斬首され「泣いて馬謖を斬る」という故事成語の由来となったのは何の戦いでしょう？,街亭の戦い,がいてい
40,「漁夫の利」の故事において、漁夫に生け捕りにされてしまった鳥は何という種類の鳥でしょう？,シギ,シギ
41,「現任訓練」とも呼ばれ、企業の新人研修に多く導入されている、職場の上司や先輩社員から指示を受けながら仕事をこなすことで実務能力を培う企業内教育の手法をアルファベット3文字で何というでしょう？,OJT,OJT
42,小説家の松原真琴を妻に持つ漫画家で、キャラクターの左右の目を非常に近づけて描く独特の画風で知られ、代表作に『いいよね！米澤先生』『カッコカワイイ宣言！』などがあるのは誰でしょう？,地獄のミサワ,じごくのミサワ
43,大相撲力士の葵龍を祖父に持ち、Jリーグ開幕年の1993年にヴェルディ川崎の監督としてクラブを初代年間王者に導いたサッカー指導者・解説者は誰でしょう？,松木安太郎,まつきやすたろう
44,その作品が2017年に日本の実業家・前澤友作によって約123億円で落札された、1988年にヘロインの過剰摂取によって27歳で亡くなったハイチ系アメリカ人の画家は誰でしょう？,ジャン＝ミシェル・バスキア,バスキア
45,関ヶ原の戦いの後、姫路城を現在残る姿に修築した、姫路藩の初代藩主である武将は誰でしょう？,池田輝政,いけだてるまさ
46,インターネット上の「電子掲示板」のことを、アルファベット3文字の略語で何というでしょう？,BBS,BBS
47,メンバー全員が歯科医であるためメディアに顔を出さないことで知られる、代表曲に『愛唄』『ミセナイナミダハ、きっといつか』『キセキ』などがある音楽グループは何でしょう？,GReeeeN,GReeeeN
48,夫に俳優の杉良太郎を持つ、代表曲に『忍ぶ雨』『恋ざんげ』『ひとり酒』などがある演歌歌手は誰でしょう？,伍代夏子,ごだいなつこ
49,ジャニーズ事務所のグループ「V6」の最年長メンバーでリーダーを務めているのは誰でしょう？,坂本昌行,さかもとまさゆき
50,ディズニーキャラクター・ダッフィーのお友達として2017年3月に登場した、ダンサーになることを夢見ているウサギの女の子の名前は何でしょう？,ステラ・ルー,ステラルー
51,1974年に漫画『スケ番あらし』でデビューし、代表作に『リングにかけろ』『聖闘士星矢』などがある漫画家は誰でしょう？,車田正美,くるまだまさみ
52,多角形のうち、唯一内角の和と外角の和が等しいのは何角形でしょう？,四角形,4
53,日本語では「神々の黄昏」と訳される、北欧神話の世界における週末の日を何というでしょう？,ラグナロク,ラグナロク
54,競技かるたのルールを全国で統一した人物でもある、日本における最初期の推理小説の1つである『無惨』や、ヴィクトル・ユーゴーの『レ・ミゼラブル』を翻案した『噫無情』などの作品がある小説家は誰でしょう？,黒岩涙香,くろいわるいこう
55,漢字では「鞐」とも書く、足袋などの衣類に取り付けられた布地を固定させるための小さな金具を何というでしょう？,こはぜ,こはぜ
56,日本の都道府県のうち、弥生時代の名称の由来となった「向ケ丘弥生町」という地名があったのはどこでしょう？,東京都,とうきょう
57,ショナ語で「石の家」という意味がある、首都をハラレに置くアフリカの国はどこでしょう？,ジンバブエ共和国,ジンバブエ
58,ザ・グレート・サスケがルチャ・リブレを広めようと1992年に旗揚げした、地方興行を中心とするプロレス団体は何でしょう？,みちのくプロレス,みちのくプロレス
59,18世紀の作曲家・モーツァルトが生まれた場所は現在でいうどこの国でしょう？,オーストリア,オーストリア
60,実業之日本社が1916年に決めた「日本新三景」とは、北海道の大沼、静岡県の三保の松原と、大分県の何という景勝地でしょう？,耶馬渓,やばけい
61,京都大学在学中に『十角館の殺人』でデビューした、代表作に「館」シリーズや『Another』などがある本格ミステリー作家は誰でしょう？,綾辻行人,あやつじゆきと
62,現在はドイツ・ブランデンブルク州の州都である都市で、1945年にアメリカ、イギリス、ソ連の3か国により第二次世界大戦での日本の降伏条件などを決定する会談が行われたことで知られるのはどこでしょう？,ポツダム,ポツダム
63,うがい薬や入浴剤、殺虫剤、薬用化粧品などが該当する、薬効成分を持ち製造・販売に医薬品同様の承認や許可が必要になるものの、小売は自由にできる商品のことを、日本の法律で何と総称しているでしょう？,医薬部外品,いやくぶがいひん
64,2018年に国際アンデルセン賞作家賞を受賞している、代表作に絵本『小さなおばけ』シリーズや児童文学『魔女の宅急便』などがある作家は誰でしょう？,角野栄子,かどのえいこ
65,本名を林田民子といい、「チータ」の愛称で知られる、主なヒット曲に『いっぽんどっこの唄』『三百六十五歩のマーチ』などがある歌手は誰でしょう？,水前寺清子,すいぜんじきよこ
66,難波のうどん店「千とせ」が発祥とされる、本来は「肉うどんのうどん抜き」である料理は何でしょう？,肉吸い,にくすい
67,1868年、明治政府とともに設置された「三職」とは、総裁、議定とあと1つは何でしょう？,参与,さんよ
68,歴代内閣総理大臣のうち、最も在職日数が短く、唯一の皇室出身者であるのは誰でしょう？,東久邇宮稔彦王,ひがしくにのみやなるひこおう
69,プーマを創業した「ルドルフ」と、アディダスを創業した「アドルフ」兄弟に共通するファミリーネームは何でしょう？,ダスラー,ダスラー
70,一般的な88鍵のピアノの鍵盤に白鍵はいくつあるでしょう？,52鍵,52
71,1402年の靖難の変で建文帝を倒して即位し、鄭和の南海遠征や北京への遷都などを実施させた、明の最盛期を築いた第3代皇帝は誰でしょう？,永楽帝,えいらく
72,英語で「博覧会」を意味する「EXPO」とは何という言葉の略でしょう？,exposition,exposition
73,京都の三大漬物の1つに数えられる、カブの一種を葉ごと塩漬けにし、室の中などで乳酸発酵させて作る、酸味が特徴の漬物は何でしょう？,すぐき,すぐき
74,死後に小説『審判』『城』などの遺稿が発表された作家で、ある朝目覚めると虫になっていた男を描いた小説『変身』の著者として知られる人物は誰でしょう？,フランツ・カフカ,カフカ
75,1758年に『経済表』を出版し、重農主義と呼ばれる経済思想を提唱したことで知られる、フランスの経済学者は誰でしょう？,フランソワ・ケネー,ケネー
76,略して「PG」とも呼ばれる、バスケットボールで主にチームの中心として指示を出し、ゲームを組み立てるポジションは何でしょう？,ポイントガード,ポイントガード
77,金融商品取引法第158条で禁止されている、有価証券の価格を変動させる目的で、虚偽の情報を流す行為を一般に何という？,風説の流布,ふうせつのるふ
78,天岩戸に隠れてしまった天照大神を外へ出すために踊りを踊ったと伝えられ、現在では芸能の神様とされている、『日本書紀』などに登場する女神は誰でしょう？,アメノウズメ,アメノウズメ
79,市内に「焼きうどん発祥の地」を称する街・小倉があるのは何市でしょう？,北九州市,きたきゅうしゅう
80,英語で、「球」はスフィアといいますが、「半球」は何というでしょう？,ヘミスフィア,ヘミスフィア
81,縦軸に賃金上昇率、横軸に失業率をとり、その関係を示した曲線を、これを提唱したイギリスの経済学者の名前をとって何曲線というでしょう？,フィリップス曲線,フィリップス
82,スカイダイビングで初心者が熟練者とともに行うことが多い、1つのパラシュートに2人をくくりつけて一緒に飛び降りることを何ジャンプというでしょう？,タンデムジャンプ,タンデム
83,第3回十字軍に参加し「獅子心王」の愛称でも知られた、プランタジネット朝イングランドの第2代国王は誰でしょう？,リチャード1世,リチャード1
84,日本中央競馬会が運営する「美浦トレーニングセンター」はどこの都道府県にあるでしょう？,茨城県,いばらき
85,ノーベル兄弟が油田開発会社を設立した都市としても知られ、「風の街」という愛称を持つ、アゼルバイジャン共和国の首都はどこでしょう？,バクー,バクー
86,『およげ！たいやきくん』に次ぐオリコンシングル歴代売上2位の記録を持つ、1972年にリリースされた「宮史郎とぴんからトリオ」のヒット曲は何でしょう？,『女のみち』,おんなのみち
87,2005年にラムサール条約の登録湿地となった、マリモで有名な北海道の湖は何でしょう？,阿寒湖,あかんこ
88,鹿の肩甲骨を焼き、その割れ方によって吉凶を判断する、古代の日本で行われていた占いの一種は何でしょう？,太占,ふとまに
89,「春の山のうしろから烟が出だした」「咳をしても一人」などの作品を残し、自由律俳句の代表的俳人として種田山頭火と並び称されたのは誰でしょう？,尾崎放哉,おざきほうさい
90,ファンデーションなどの色調で、ピンクとベージュの中間色にあたるものを「黄土色」を意味するフランス語から何というでしょう？,オークル,オークル
91,歌川広重の浮世絵連作『東海道五十三次』で到着地として描かれている京都の橋は何でしょう？,三条大橋,さんじょうおおはし
92,1778年にはモーツァルトがこの変奏曲を作曲している、現在では『ABCの歌』のメロディとしても親しまれている曲を日本語で一般に何と呼ぶでしょう？,『きらきら星』,きらきらぼし
93,『車のいろは空のいろ』で第1回日本児童文学者協会新人賞、『ちいちゃんのかげおくり』で小学館文学賞を受賞し、2001年に紫綬褒章を受章した児童文学作家は誰でしょう？,あまんきみこ,あまんきみこ
94,日本では「チョッパー」とも呼ばれる、弦を叩いたり引っ張ったりして音を出す、エレキベースでよく見られる奏法を、英語の「平手打ち」という意味の言葉で何奏法というでしょう？,スラップ奏法,スラップ
95,オリオン大星雲の中心部に見られる散開星団を、ラテン語で「台形」を意味する言葉で何というでしょう？,トラペジウム,トラペジウム
96,中宮定子の兄で、叔父の道長と弓で対決した逸話が『大鏡』に残されていることで知られる平安時代の貴族は誰でしょう？,藤原伊周,ふじわらのこれちか
97,日本における出生届は、出生日を含め何日以内に届け出なければならないでしょう？,14日以内,14
98,水を掘り当てた開拓者たちの喜びを表現しているという、日本ではフォークダンスの定番曲として親しまれているイスラエルの楽曲といえば何でしょう？,マイム・マイム,マイムマイム
99,ゴルフクラブの3番ウッドのことを、そのヘッドの形状がある食器に似ていたことから何というでしょう？,スプーン,スプーン
100,大学入試の過去問題集のうち、通称「白本」と呼ばれる『大学入試センター試験過去問題集』などを発行している会社を何ライブラリーというでしょう？,代々木ライブラリー,よよぎ
101,「蓮華寺では下宿を兼ねた。」という書き出しで始まる、小学校教師の瀬川丑松が偏見や因習と闘う姿を描いた、島崎藤村の小説は何でしょう？,『破戒』,はかい
102,古代ギリシャで用いられた戦法の一種で、重装備の歩兵が密集し、一丸となって攻撃する陣形を何と呼ぶでしょう？,ファランクス,ファランクス
103,「テレビ」「ラジオ」「ピアノ」「バー」などが無いことを歌詞で嘆いている、吉幾三が1984年に発表した楽曲は何でしょう？,『俺ら東京さ行ぐだ』,おらとうきょうさいぐだ
104,1808年、オランダ船の拿捕を狙って長崎へ入港し、オランダ商館員2人を人質にとったイギリスの軍艦の名前は何でしょう？,フェートン号,フェートン
105,俗に「ガラポン」「ガラガラ」などと呼ばれる、商店の福引きなどでおなじみの抽選器の正式名称を、考案者である東京の帽子店経営者の姓をとって何というでしょう？,新井式回転抽選器,あらいしきかいてんちゅうせんき
106,日本語では「懸垂曲線」という、ロープなどの両端を持って垂らした時にできる曲線を、ラテン語の「鎖」を意味する言葉から「何曲線」というでしょう？,カテナリー曲線,カテナリー
107,ジョイ＝アダムソンの小説『野生のエルザ』の主人公・エルザは何という動物でしょう？,ライオン,ライオン
108,第二次大戦期にアメリカが開発したガンバレル型ウラニウム原子爆弾の通称で、特に1945年8月6日に広島市に投下されたものを指すことも多い名称は何でしょう？,リトルボーイ,リトルボーイ
109,市内にジョカン寺やポタラ宮などのユネスコの世界遺産がある、中国・チベット自治区の区都はどこでしょう？,ラサ,ラサ
110,2016年に日本鉱物科学会により定められた日本の国石は何でしょう？,翡翠,ひすい
111,エルナン・コルテスやフランシスコ・ピサロに代表される、15世紀から17世紀にアメリカ大陸に渡ったスペインの征服者や探検家のことを、スペイン語の「征服者」という言葉で何というでしょう？,コンキスタドール,コンキスタドール
112,ポルトガル語で「哀愁」や「切なさ」といった複雑なニュアンスを表す言葉で、ロックバンド・ポルノグラフィティの曲名にもなっている言葉は何でしょう？,サウダージ,サウダージ
113,英語で「特異点」を意味し、到来が予測されている時期から「2045年問題」などといわれることもある、人工知能が人間の知能を上回り人間文明に劇的な変化を生じさせるという時点のことを指す言葉は何でしょう？,シンギュラリティ,シンギュラリティ
114,その国の経済状況を示す経済指標の1つ「国民総生産」をアルファベット3文字で何というでしょう？,GNP,GNP
115,和名を「釣鐘星」という、おうし座にある散開星団は何でしょう？,ヒアデス星団,ヒアデス
116,太宰治の小説『人間失格』では「酔いの早く発する」飲み物と書かれている、東京・浅草にある神谷バーの創業者・神谷伝兵衛が作った、ブランデーが混合されたアルコール飲料を何と呼ぶでしょう？,電氣ブラン,でんきブラン
117,日本の法律の1つで、植物の新品種を創作した者に育成者権の占有を認めることなどを定めているのは何法でしょう？,種苗法,しゅびょう
118,日本レコード大賞で初めて2連覇を達成した歌手である、代表曲に『浪花節だよ人生は』『北酒場』などがある演歌歌手は誰でしょう？,細川たかし,ほそかわたかし
119,昆虫の体表にある、呼吸をするための穴を何というでしょう？,気門,きもん
120,農作業が比較的ひまである時期のことを、「農繁期」に対して何期というでしょう？,農閑期,のうかん
121,ニンニクの都道府県別生産量が最も多い都道府県はどこでしょう？,青森県,あおもり
122,高級ホテル並みのサービスを受けながら自然を満喫できるキャンプのことを、「魅力的なキャンプ」という意味の造語から何というでしょう？,グランピング,グランピング
123,14世紀に中国から伝来し、本土の「三味線」の起源となったとされる、沖縄や奄美地方で広く使われる弦楽器を一般に何と呼ぶでしょう？,三線,さんしん
124,「知識は力なり」という言葉を残したことや、4つのイドラにおける概念を提唱したことで知られるイギリスの哲学者は誰でしょう？,フランシス・ベーコン,ベーコン
125,世界最古の国旗とされる「ダンネブロ」は、どこの国の旗でしょう？,デンマーク,デンマーク
126,マラソンで、わざとハイペースで先頭を引っ張るランナーのことをある動物にたとえて何というでしょう？,ラビット,ラビット
127,これが大きいことが酒米に適した条件とされる、米の中央部にある白色で不透明な部分を何というでしょう？,心白,しんぱく
128,その名前は松井秀喜が付けていた背番号55番にちなんでいる、石川県のご当地カレー「金沢カレー」を提供するカレーチェーンは何でしょう？,ゴーゴーカレー,ゴーゴーカレー
129,サツマイモの一種「安納芋」の由来となった「安納」という地名がある島はどこでしょう？,種子島,たねがしま
130,日本の取引所で、東京証券取引所の通称は「兜町」ですが、大阪取引所の通称は何でしょう？,北浜,きたはま
131,桜の名所としても知られる「造幣局」の本局がある都道府県はどこでしょう？,大阪府,おおさか
132,かつては「はりつけの刑」やそれを受ける罪人のことを指し、現在では多くの人々から人気がある人や物のことを指す、ある海の生き物の名を使った慣用句は何でしょう？,ひっぱりだこ,ひっぱりだこ
133,石川さゆりの歌『津軽海峡・冬景色』の歌碑や、ほぼ真下を通る青函トンネルの坑道見学ができる記念館などが近くにある、津軽半島の最北端にある岬は何崎でしょう？,竜飛崎,たっぴ
134,大相撲の星取表で、白星と黒星が交互に並ぶことを俗に何というでしょう？,ヌケヌケ,ヌケヌケ
135,ヘラ、アフロディーテ、アテナの女神3人が美を競っていた際にアフロディーテを勝者とする審判を下し、それがトロイア戦争の発端となったとされる挿話が伝わる、ギリシャ神話に登場するトロイアの王子は誰でしょう？,パリス,パリス
136,競走馬の安楽死を意味する婉曲表現としても使われる、回復が困難または不可能な故障が発生した競走馬の状態を指す漢字4文字の言葉は何でしょう？,予後不良,よごふりょう
137,京都三大祭といえば、5月の葵祭、7月の祇園祭と10月にある何祭でしょう？,時代祭,じだい
138,アメリカの陸軍士官学校があることから陸軍士官学校の通称ともなっている、大部分がニューヨーク州ハイランズの町に含まれる地区のことを何というでしょう？,ウェストポイント,ウェストポイント
139,ドミニカ共和国はサント・ドミンゴを首都とする国ですが、ドミニカ国はどこを首都とする国でしょう？,ロゾー,ロゾー
140,日本では2018年より導入された、被告人が共犯者の告発などの捜査協力をする代わり、検察官が求刑の軽減や罪状の取り下げといった見返りを与える制度を一般に何というでしょう？,司法取引,しほうとりひき
141,ゴルフで、各ホールの規定打数より2打少ない状態でボールをグリーンに乗せることを英語で何というでしょう？,パーオン,パーオン
142,現在、日本のサッカー・J1リーグのクラブ数は何クラブでしょう？,18クラブ,18
143,野球のアメリカ・メジャーリーグで全球団が永久欠番としている背番号は何番でしょう？,42,42
144,日本銀行の総裁の任期は何年でしょう？,5年,5
145,2007年に小説『虐殺器官』でデビューし、2009年に遺作となった小説『ハーモニー』で日本SF大賞を受賞した日本の作家は誰でしょう？,伊藤計劃,いとうけいかく
146,1歳未満の乳児に蜂蜜を与えるとこの細菌による食中毒の恐れがあるとして1987年に旧厚生省が通知を出している、全身の神経麻痺を生じさせ、致死率の高い食中毒を引き起こす細菌を何菌というでしょう？,ボツリヌス菌,ボツリヌス
147,毎年葉を落とす「落葉樹」に対して、1年を通して葉を付けているマツやスギなどの木を何というでしょう？,常緑樹,じょうりょくじゅ
148,バスケットボールのニュージーランド代表チームのことを、同国のラグビー代表「オールブラックス」にちなんだ愛称で何というでしょう？,トールブラックス,トールブラックス
149,ミツバチの巣で女王蜂を育てるために造られる部屋を日本語で何というでしょう？,王台,おうだい
150,童謡『虫のこえ』の歌詞で、「ちんちろちんちろちんちろりん」と鳴いているコオロギ科の昆虫は何でしょう？,マツムシ,マツムシ
151,英語では「ボックス・オフィス」と呼ばれる、1つの映画作品に対して観客が支払った入場料の合計金額を漢字4文字で何というでしょう？,興行収入,こうぎょうしゅうにゅう
152,日本ペンクラブの第7代会長を務めた小説家で、1935年に『蒼氓』で第1回芥川賞を受賞したのは誰でしょう？,石川達三,いしかわたつぞう
153,富士山の主要な4つの登山ルートのうち、利用する登山者数が現在最も多いルートで、かつ唯一山梨県側に位置しているのは何ルートでしょう？,吉田ルート,よしだ
154,太古の恐竜・アンキロサウルスが水爆実験により蘇ったという設定である、映画『ゴジラの逆襲』において、ゴジラシリーズ初となるゴジラとの怪獣同士の対決を行った怪獣は何でしょう？,アンギラス,アンギラス
155,アンセルムスやトマス・アクィナスなどがその代表的な学者である、中世ヨーロッパにおいて教会付属の学校などで論じられた哲学体系を、ラテン語で「学校」を意味する言葉から何哲学というでしょう？,スコラ哲学,スコラ
156,外国企業が中国で人民元建てで発行する債券のことを、ある動物の名前を使って何債というでしょう？,パンダ債,パンダ
157,カミュの小説『異邦人』で、「太陽が眩しかったから」という理由でアラブ人を殺害したと述べる主人公の名前は何でしょう？,ムルソー,ムルソー
158,大相撲で、横綱の土俵入りの2つの型とは、不知火型と何型でしょう？,雲竜型,うんりゅう
159,CLAMPの漫画『カードキャプターさくら』の主人公・さくらの名字は何でしょう？,木之本,きのもと
160,公式ルールの綱引きで、足の裏以外の体の部分が地面に触れたままロープを引き続ける反則を何というでしょう？,リーニング,リーニング
161,京都の寺院で、「金閣」は鹿苑寺にありますが、「銀閣」は何寺にあるでしょう？,慈照寺,じしょう
162,谷崎潤一郎の小説『細雪』に登場する蒔岡家の4姉妹とは、鶴子、幸子、雪子と誰でしょう？,妙子,たえこ
163,常陸、播磨、出雲、肥前、豊後の5つの現存が確認されている、奈良時代に元明天皇の命により編纂された、日本各地の産物や地名の由来などを記した書物は何でしょう？,風土記,ふどき
164,産業革命期のイギリスで主に労働者や手工業者たちが起こした、工場の機械や設備を破壊する運動のことを一般に何運動というでしょう？,ラッダイト運動,ラッダイト
165,2022年度から「現代社会」に代えて高校の新たな必修科目として導入される予定である、主権者教育の充実を図ることを目的とした科目は何でしょう？,公共,こうきょう
166,体に移植されたものを意味する英単語で、日本では特に顎の骨に埋め込まれる人工の歯を指していうことが多い言葉といえば何でしょう？,インプラント,インプラント
167,俳優・役所広司の芸名の由来となった、かつて彼が勤めていた東京都内の役所は何役所でしょう？,千代田区役所,ちよだく
168,洋菓子職人のパティシエの中でも、特にアイスクリームなどの冷菓を専門とする職人のことをフランス語で何というでしょう？,グラシエ,グラシエ
169,世界最古の明文化されたアルゴリズムともいわれる、2つの数から互いに相手を割った余りを順々に求めていくことで最大公約数を求める方法のことを、それが記述された『原論』の著者の英語名をとって何の互除法というでしょう？,ユークリッドの互除法,ユークリッド
170,「3月」を表す英語「March」の由来となったローマ神話の神は誰でしょう？,マルス,マルス
171,ウチワの生産量で日本一を誇る、香川県の都市は何市でしょう？,丸亀市,まるがめ
172,その一部がラムサール条約に登録されている、日本で最も北に位置する国立公園は何国立公園でしょう？,利尻礼文サロベツ国立公園,りしりれぶんサロベツ
173,その名は「隠す者」という意味の英語に由来する、ベースメイクで目の下のクマや目立つシミなどを隠すために用いられる化粧品を何というでしょう？,コンシーラー,コンシーラー
174,船舶の航行において船首を左側に向ける舵の取り方を、右側に向ける「面舵」に対して何舵というでしょう？,取舵,とり
175,古くなった赤血球の処理やリンパ球の産出、血液の貯蔵機能などの機能を持ち、胃の裏側に位置している臓器は何でしょう？,脾臓,ひぞう
176,「ビーナスの花かご」とも呼ばれる、二酸化ケイ素でできた骨格を持つ海綿動物は何でしょう？,カイロウドウケツ,カイロウドウケツ
177,シャムネコとペルシャネコの交配により作られた猫の品種は何でしょう？,ヒマラヤン,ヒマラヤン
178,ドイツ語で「小屋」を意味する、日本では一般に山小屋やスキーヤー向けの小屋、山中の別荘などを指す言葉といえば何でしょう？,ヒュッテ,ヒュッテ
179,別名を「四角数」という、1、4、9など自然数を二乗して得られる整数のことを何というでしょう？,平方数,へいほうすう
180,日本語では「貸借対照表」と呼ばれる、表の左側に資産、右側に負債と純資産を記載し、ある一時点での企業の財政状態を示した財務諸表の1つを何というでしょう？,バランスシート,バランスシート
181,1891年の大津事件の時はまだ皇太子であった、ロシア・ロマノフ朝の最後の皇帝は誰でしょう？,ニコライ2世,ニコライ2
182,漢詩の形式の1つ「絶句」とは、何句で構成される詩のことでしょう？,4句,4
183,1077年、ローマ教皇・グレゴリウス7世から破門されていた神聖ローマ皇帝・ハインリヒ4世が、教皇が滞在していた城の門前で雪の中3日間立ち尽くし許しを得たという事件を、それが起きた北イタリアの地名から俗に何というでしょう？,カノッサの屈辱,カノッサのくつじょく
184,魚のアラを野菜とともに煮込んで作る、青森県津軽地方の代表的な郷土料理を、アラを意味する津軽弁の言葉を用いて何というでしょう？,じゃっぱ汁,じゃっぱじる
