,ques,ans
37,スペイン語で「釜」や「鍋」といった意味がある言葉で、日本では箱根や阿蘇のものが有名な、火山の活動によって大きく窪地状になった地形を何というでしょう？,カルデラ
38,ゴルフで、各ホールに定められた基準打数のことを英語で何というでしょう？,パー
39,ABO式血液型で、日本人に最も多いのは何型でしょう？,A型
40,道府県の警察本部に相当する、東京都を管轄する警察組織の本部の名称は何でしょう？,警視庁
41,主にフランス料理で用いられる食用カタツムリのことを、フランス語で「カタツムリ」を意味する言葉で何と呼ぶでしょう？,エスカルゴ
42,日本の島で沖縄本島に次ぐ面積を持ち、江戸時代には当時として世界最大級の金山が発見され幕府直轄領となった、日本海に浮かぶ新潟県の島は何でしょう？,佐渡島
43,著書に『西洋事情』『学問のすゝめ』などがある、現在発行されている一万円紙幣の肖像画のモデルとしても有名な明治の思想家は誰でしょう？,福沢諭吉
44,2020年東京オリンピックではセーリング競技の会場となる、神奈川県藤沢市にある人気観光地の島はどこでしょう？,江の島
45,テレビ番組『セサミストリート』に登場する、全身が青く、クッキーが大好きなモンスターは誰でしょう？,クッキーモンスター
46,俗に「宵の明星」や「明けの明星」といわれる星は何でしょう？,金星
47,記紀に登場する天稚彦や天探女に由来する鬼の名前から転じて、わざと人に逆らった言動をする者を指す言葉は何でしょう？,天邪鬼
48,スタジオジブリの映画『となりのトトロ』に登場する、12本の足を持ち、サツキやメイを乗せて母親が入院する病院まで送り届けた乗り物のような生き物は何でしょう？,ネコバス
49,例年JR各社が春休み・夏休み・冬休みの各シーズンに合わせて販売する、全国のJR線の普通列車1日乗り放題が5日分使えるきっぷの名称は何でしょう？,青春18きっぷ
50,バスケットボールで、ボールを胸の辺りから両手で押し出すようにして行うパスを、「胸部」を意味する英語を使って何パスというでしょう？,チェストパス
51,慣用句で、危機的な状況では超人的な力を発揮できるということを「何の馬鹿力」というでしょう？,火事場の馬鹿力
52,世話を受けた相手に害を与えることを、「恩を何で返す」というでしょう？,恩を仇で返す
53,1930年にクライド・トンボーにより発見され、その後太陽系第9惑星として扱われていたものの、2006年に惑星から除外された準惑星は何でしょう？,冥王星
54,2006年に採用された日本の地図記号の1つで、家の中に杖をあしらった図案で表されるものは何でしょう？,老人ホーム
55,発展途上国の生産物を適正な価格で取引することにより、途上国の生産者や労働者の経済的自立を促すという運動のことを、「公正取引」を意味する英語で何というでしょう？,フェアトレード
56,日本の都道府県で「豊山町」「豊明市」「豊川市」「豊橋市」「豊田市」があるのはどこでしょう？,愛知県
57,ダイエットにより体重を落としたあとに再び元の体重に戻る、あるいはそれ以上に体重が増えてしまう現象を英語で何というでしょう？,リバウンド
58,洋菓子職人のパティシエの中でも、特にチョコレートを専門とする職人のことをフランス語で何というでしょう？,ショコラティエ
59,入院患者がベッドから看護師を呼び出せるよう病室に取り付けられている、押しボタンなどからなる装置のことを一般に和製英語で何というでしょう？,ナースコール
60,頭ごなしに大声で怒鳴りつけることを、ある自然現象に例えて「何を落とす」というでしょう？,雷
61,毎年3月に二月堂で「お水取り」の儀式が行われる、大仏で有名な奈良県の寺院は何でしょう？,東大寺
62,「つれづれなるまゝに、日ぐらし硯に向かひて」という書き出しで始まる、吉田兼好作とされる随筆集は何でしょう？,『徒然草』
63,ことわざで、まだ確かではないことを当てにして、あれこれ計画を立てることを、ある動物を使って「捕らぬ何の皮算用」というでしょう？,捕らぬ狸の皮算用
64,"その面積46,755平方mや体積124万立方mがしばしば比較の基準として用いられる、プロ野球・読売ジャイアンツの本拠地である東京都文京区の野球場は何でしょう？",東京ドーム
65,1739年にサウスカロライナ州で発生した暴動が起源とされる、「ボールタッチ」「チャグ」「ストンプ」などのステップからなる、金属板を靴底の爪先と踵に付けて床を踏み鳴らしながら踊るダンスを何というでしょう？,タップダンス
66,漢字では「足袋」と書く、主に和服を着る際に用いる布製の履き物といえば何でしょう？,たび
67,医学的には「尋常性痤瘡」という、思春期の男女に生じやすい皮膚の発疹のことを一般に何というでしょう？,にきび
68,白村江の戦いの大敗を機に配置が始まった、主に東国から徴発され、九州北部で他国からの防御任務に就いた兵士たちのことを一般にその訓読みで何と呼ぶでしょう？,防人
69,試験などで使われる、該当する選択肢を鉛筆などで塗りつぶすことで答えを記す用紙を和製英語で何というでしょう？,マークシート
70,ラテン語で「他の場所に」という意味がある、犯罪が行われた時の現場不在証明を指す言葉は何でしょう？,アリバイ
71,1993年に白神山地とともに日本で初めてユネスコの世界自然遺産に登録された鹿児島県の島は何でしょう？,屋久島
72,標高は599mで世界一登山客が多い山とされる、東京都八王子市にある山は何山でしょう？,高尾山
73,オーストラリアはキャンベラを首都とする国ですが、オーストリアはどこを首都とする国でしょう？,ウィーン
74,894年に菅原道真の建議により停止された、日本が中国に派遣していた使節のことを、中国の当時の国名から何というでしょう？,遣唐使
75,哺乳類には珍しい変温動物で、漢字では「樹懶」と表記する、そのゆっくりとした動作から名付けられた動物は何でしょう？,ナマケモノ
76,歌川広重の浮世絵連作『東海道五十三次』で出発地として描かれている東京の橋は何でしょう？,日本橋
77,室町時代、畠山氏と斯波氏の家督争いを発端に11年にわたって日本全国で起こった戦乱を、戦が始まった1467年の元号を用いて「何の乱」というでしょう？,応仁の乱
78,ともに岡山県出身で「クセがすごい」などのフレーズでも知られる、ボケの大悟とツッコミのノブからなるお笑いコンビの名前は何でしょう？,千鳥
79,ガスト、ジョナサン、バーミヤンなどのファミリーレストランチェーンを経営している、東京都武蔵野市に本社を置く会社は何でしょう？,すかいらーく
80,英語では「high-five」という、喜びを表現する時に相手と顔や頭の位置で手のひらを打ち合う仕草を和製英語で何というでしょう？,ハイタッチ
81,女子の新体操競技で用いる5つの手具とは、ロープ、フープ、クラブ、ボールとあと1つは何でしょう？,リボン
82,「けいさんかんむり」という別称もある、「亥」「交」「京」といった漢字に共通する部首を、その形をある調理道具にたとえた呼称で何というでしょう？,なべぶた
83,「星まつり」や「笹の節句」といった別名があり、仙台市で行われる有名な祭りの名前にもなっている年中行事といえば何でしょう？,七夕
84,コース内に「デグナーカーブ」「130R」「ダンロップコーナー」といったコーナーが設置されている、8時間耐久ロードレースやF1日本グランプリが開催されることで有名な三重県にあるレース場は何でしょう？,鈴鹿サーキット
85,東海道新幹線で運行されている列車の愛称は、のぞみ、ひかりと何でしょう？,こだま
86,2006年にシングル『SAKURA』でメジャーデビューした、『ありがとう』『じょいふる』『YELL』などの楽曲で知られる3人組音楽グループは何でしょう？,いきものがかり
87,猫が砂をかけて糞を隠すことに由来する、拾ったものを密かに自分のものにすることを意味する言葉は何でしょう？,ネコババ
88,正式名称を「アメリカ航空宇宙局」という、アメリカの宇宙開発計画を担う機関をアルファベット4文字で何というでしょう？,NASA
89,システムエンジニアとサウンドエフェクトに共通するアルファベット2文字の略語は何でしょう？,SE
90,絵本作家エリック・カールが1969年に出版した、あおむしが色々なものを食べて大きくなりやがて美しい蝶となっていくという内容の絵本は何でしょう？,『はらぺこあおむし』
91,蒸気機関の改良に貢献し、仕事率や電力の単位に名前を残すイギリス人は誰でしょう？,ジェームズ・ワット
92,JISでは「大気圧より低い圧力の気体で満たされた空間内の状態」と定義されている、一般に空気やガスのない空間を何と呼ぶでしょう？,真空
93,その新芽がコアラの主食となることで知られる、主にオーストラリアに分布するフトモモ科の植物は何でしょう？,ユーカリ
94,ネッシーや雪男などに代表される「未確認生物」のことを、アルファベット3文字の和製の略語で一般に何というでしょう？,UMA
95,コナン・ドイルの小説『シャーロック・ホームズ』シリーズに登場する、ホームズの友人で彼の助手を務める医師は誰でしょう？,ジョン・H・ワトソン
96,中国語では「吐司」という当て字も使われる、スライスした食パンを加熱して表面に軽く焦げ目を付けた料理は何でしょう？,トースト
97,慣用句で、予想外の出来事に唖然とすることを、ある玩具を使って「鳩が何を食ったよう」というでしょう？,鳩が豆鉄砲を食ったよう
98,学名を「ガラ・ルファ」という、人間の皮膚表面の古い角質を食べる習性があるコイ科の魚を、それが美容や健康にいいとされることからついた英語の通称で何というでしょう？,ドクターフィッシュ
99,道路脇で親指を立てた腕を伸ばして見せるのが一般的なやり方である、通りがかりの自動車に無料で乗せてもらう移動方法を英語で何というでしょう？,ヒッチハイク
100,夏の大三角を形成する3つの1等星とは、アルタイル、デネブと何でしょう？,ベガ
101,手塚治虫の漫画『鉄腕アトム』で、アトムの妹として作られたロボットの名前は何でしょう？,ウラン
102,オーストラリア東部に生息する、水かきとくちばしを持ち、卵を産む哺乳類は何でしょう？,カモノハシ
103,漢字では「無花果」と書く、不老長寿の果物とも呼ばれるクワ科の植物は何でしょう？,いちじく
104,ことわざで、勢いの盛んなものにさらに勢いをつけることを「火に何を注ぐ」というでしょう？,火に油を注ぐ
105,床から305cmの高さにあるリングに上からボールを通すと得点となる、日本語では「籠球」と表記されるスポーツは何でしょう？,バスケットボール
106,憩いの場のたとえにも使われる言葉で、砂漠などの乾燥地域の中で水が湧く場所を何というでしょう？,オアシス
107,モヤシやゼンマイなどの野菜・山菜を塩ゆでにしたものを、ごま油などの調味料で和えて作る、日本ではビビンバの具としてもお馴染みの朝鮮半島の和え物料理を何というでしょう？,ナムル
108,「隣の花は赤い」と同じ意味のことわざで、「隣の芝生」は何という色に見えるといわれるでしょう？,青
109,本名を大西賢示という、2009年のミス・インターナショナル・クイーンで優勝したことでも知られるニューハーフタレントは誰でしょう？,はるな愛
110,ドイツの薬剤師アウグスト・エトカーが特許を取得している、パンや焼き菓子などを作る際に使う、重曹に酸性の助剤を加えた膨張剤を「何パウダー」というでしょう？,ベーキングパウダー
111,ふたを開けると多くの災いが飛び出し、最後に「希望」だけが残ったというギリシャ神話に登場する箱を何の箱というでしょう？,パンドラの箱
112,馬に乗って戦場に出向くことと、選挙に立候補することに共通する二字熟語は何でしょう？,出馬
113,元々は『源氏物語』にちなんで付けられた名前のことを指し、転じてホストやホステスが仕事の上で名乗る名前を指す言葉は何でしょう？,源氏名
114,『レイジング・ブル』『ミリオンダラー・ベイビー』『ロッキー』といえば、いずれも何のスポーツを題材とした映画でしょう？,ボクシング
115,水、揚げ、焼きなどの種類が知られ、中国では子宝や長寿などを願う縁起物としても食べられる、小麦粉で作った皮で肉などの具を包む料理は何でしょう？,餃子
116,石灰石に薄い塩酸を加えた時に発生する、化学式CO2で表される無機化合物は何でしょう？,二酸化炭素
117,瀬戸内海で春に多く獲れたことから「鰆」という漢字で表記される魚は何でしょう？,サワラ
118,刺身料理の「てっさ」や鍋料理の「てっちり」で使われる魚といえば何でしょう？,フグ
119,ニューヨーク州の国際空港やフロリダ州の宇宙センターの名前にもなっているアメリカの第35代大統領で、略称の「JFK」としても知られる人物といえば誰でしょう？,ジョン・F・ケネディ
120,京都・下鴨神社で行われる祭りが語源とされる言葉で、焼いた串団子に砂糖醤油のタレをかけた団子を何団子というでしょう？,みたらし団子
121,元々は賭博用語で「ゾロ目」を意味する言葉で、今では同い年を指す時に用いられるカタカナ2文字の言葉は何でしょう？,タメ
122,借金や費用などが膨らんでいくことを、雪の積もった場所で雪玉を転がすとどんどん大きくなることにちなんで「何式」と形容するでしょう？,雪だるま式
123,自動車の「メルセデス・ベンツ」はどこの国のメーカーのブランドでしょう？,ドイツ
124,儒教の始祖であり、その言行が『論語』にまとめられている中国・春秋時代の思想家は誰でしょう？,孔子
125,2005年にジョード・カリムらによって設立され、彼が投稿した「Me at the zoo」が最初に投稿された動画である、アメリカに本部を置く世界最大の動画共有サービスは何でしょう？,YouTube
126,1982年に大ヒットした、少年・エリオットがある地球外生命体を乗せて自転車で夜空を飛ぶシーンなどが有名なスティーブン・スピルバーグ監督のSF映画は何でしょう？,『E.T.』
127,思いがけない出来事のことを、晴れた日に起こる雷を意味する言葉で「青天の何」というでしょう？,青天の霹靂
128,本名を百瀬由一という、『柳ヶ瀬ブルース』『さそり座の女』などのヒット曲があり、紅白歌合戦に出場する際に豪華な衣装を着用することでも知られた演歌歌手は誰でしょう？,美川憲一
129,ギリシャ神話に登場する、3つの頭を持つ冥界の番犬の名前は何でしょう？,ケルベロス
130,「活喩法」とも呼ばれる、「花が笑う」「風がささやく」など、人以外のものを人のように表現する修辞技法を一般に何法というでしょう？,擬人法
131,ドイツ語では「ヴァイナハテン」、イタリア語では「ナターレ」、フランス語では「ノエル」と呼ぶ行事を日本では一般に何というでしょう？,クリスマス
132,日本の元号・昭和は「昭和何年」まで続いたでしょう？,昭和64年
133,エスキモーのポポとナナを操作して氷山の頂上を目指すという内容の、1985年に任天堂から発売されたファミリーコンピュータ用のアクションゲームは何でしょう？,『アイスクライマー』
134,日本発祥のスポーツで、2人制と3人制のものは「リレーション」と呼ばれる、番号の付いたボールをゲートに通過させてゴールポールに当てることを目的とするスポーツは何でしょう？,ゲートボール
135,1986年4月26日に世界最大級の原子力事故が起きた、現在のウクライナにある原子力発電所はどこでしょう？,チェルノブイリ原子力発電所
136,日本プロ野球で、クライマックスシリーズに進出するのはセ・パ各リーグとも上位何位までのチームでしょう？,3位
137,2016年にシングル『生きていたんだよな』でメジャーデビューした、『君はロックを聴かない』『マリーゴールド』などの代表曲がある女性アーティストは誰でしょう？,あいみょん
138,慣用句に使われる言葉で、河童には誂え、傷口には塗り、敵には送るものといえば何でしょう？,塩
139,慣用句で、機嫌が悪く意固地になった時には「曲げ」、おかしくてたまらない時には「茶を沸かす」と言われる体の部位はどこでしょう？,へそ
140,ペリカン、キーツ、アップルなどの品種がある、日本では沖縄県や宮崎県が産地として有名なウルシ科の果物は何でしょう？,マンゴー
141,「cattle」「ox」「bull」「cow」といえば、いずれも何の動物を表す英単語でしょう？,牛
142,ABO式血液型で、日本人に最も多いのは何型でしょう？,A型
143,ディズニーのアニメ映画『眠れる森の美女』に登場する、オーロラ姫に呪いをかけた魔女の名前は何でしょう？,マレフィセント
144,英語で「貫く」という意味がある、身体の一部に小さな穴を開けて付けるアクセサリーは何でしょう？,ピアス
145,バスケットボールで、ボールを持ったまま3歩以上歩く反則を何というでしょう？,トラベリング
146,元々は天界で天の川を管理する天蓬元帥という将軍で、罪を犯して地上に追放された、中国の小説『西遊記』に登場する豚の妖怪は何でしょう？,猪八戒
147,ギリシャ語で「どこにも無い場所」という意味がある、イギリスの思想家トマス・モアの著書に登場する架空の理想郷は何でしょう？,ユートピア
148,大豆を意味する英語の「ソイ」は元々日本の何という調味料の名前に由来する言葉でしょう？,醤油
149,RED RICE、HAN-KUN、SHOCK EYE、若旦那の4人からなる、『純恋歌』『睡蓮花』などのヒット曲で知られるレゲエグループは何でしょう？,湘南乃風
150,メンバー全員が歯科医を兼業し、メディアに一切顔を出さないことでも知られる、代表曲に『愛唄』『ミセナイナミダハ、きっといつか』『キセキ』などがある音楽グループは何でしょう？,GReeeeN
151,ラピュタ語で「閉じよ」という意味がある、スタジオジブリの映画『天空の城ラピュタ』でシータとパズーがラピュタを崩壊させるために唱えた滅びの呪文は何でしょう？,バルス
152,「お前はもう死んでいる」のセリフで有名な、アニメ『北斗の拳』に登場する主人公の名前は何でしょう？,ケンシロウ
153,その名はフランス語で「溶かす」を意味する言葉の過去分詞に由来する、チーズや油、スープなどに串で刺した食材を付けて食べる料理は何でしょう？,フォンデュ
154,バレーボールで、スパイクを打つためのトスを上げる役目の選手を英語で何というでしょう？,セッター
155,恐竜・トリケラトプスの「トリ」が表す数は何でしょう？,3
156,1930年にクライド・トンボーにより発見され、その後太陽系第9惑星として扱われていたものの、2006年に惑星から除外された準惑星は何でしょう？,冥王星
157,ツムラの医療用漢方製剤では製品番号「1」にあたる、風邪の初期症状に効果があるとされている、クズの根を乾燥させた生薬や麻黄を使った漢方薬は何でしょう？,葛根湯
158,漢字では「猟虎」とも書く、胸に貝を乗せて叩く仕草が有名な動物は何でしょう？,ラッコ
159,地球の平均的な大気の中に最も多く含まれる気体は何でしょう？,窒素
160,適当なことを言ってその場を取り繕うことを、ある飲み物を使って「何を濁す」というでしょう？,お茶を濁す
161,女神アストライアが所有する、人間の善悪をはかる道具が名前になっている星座は何でしょう？,てんびん座
162,健康的に日焼けした肌を、ある植物にたとえて「何色の肌」というでしょう？,小麦色の肌
163,1984年の第1回では浅野ゆう子と郷ひろみが一般部門を受賞した、日本ジーンズ協議会が毎年主催する、ジーンズの似合う著名人を表彰する賞は何でしょう？,ベストジーニスト賞
164,元々は相手の領地の「石高」から兵力を割り出し、勝敗の見込みを計ったことを由来とする言葉で、大したことはないと見くびることを「何をくくる」というでしょう？,高をくくる
165,第1回は1975年に日本消防会館会議室で開催され、1996年からは主に東京ビッグサイトを会場としている、有限会社コミケットが運営する世界最大級の同人誌即売会は何でしょう？,コミックマーケット
166,ドナルド・キーンが『No,Longer
167,Human』という題で英訳した、太宰治の代表作は何でしょう？,『人間失格』
168,童話『白雪姫』で、白雪姫とともに生活する小人は全部で何人でしょう？,7人
169,日本のプロ野球で、セ・リーグは「セントラル・リーグ」の略ですが、パ・リーグは「何・リーグ」の略でしょう？,パシフィック・リーグ
170,本来は「昆虫の触角」という意味の、電波の送受信を行う導線装置をカタカナで何というでしょう？,アンテナ
171,人間の眼球の後ろ側の内壁を覆い、視覚的な情報を受信する役割を果たしている、薄い膜状の組織を何というでしょう？,網膜
172,一般に「世界三大洋」といえば、太平洋、大西洋と何という海のことでしょう？,インド洋
173,「PassCode」「たこやきレインボー」「NMB48」といえば、どこの都道府県を発祥とするアイドルグループでしょう？,大阪府
174,野球でランナーが塁上にいない時に打ったホームランのことを、「単独の」を意味する英語を使って特に何ホームランというでしょう？,ソロホームラン
175,第1号本塁打は村田元一、現役最後の第868号本塁打は神部年男からそれぞれ放った、日本プロ野球における通算本塁打記録を保持している元プロ野球選手は誰でしょう？,王貞治
176,2007年に社会学者の山田昌弘が提唱した造語で、彼とジャーナリストの白河桃子が共同で著した本により広まったとされる、より良い結婚相手を探すために意識的に行う活動のことを指す漢字2文字の言葉は何でしょう？,婚活
177,イタリア・ローマのサンタ・マリア・イン・コスメディン教会の外壁に飾られた、「嘘つきが手を入れると抜けなくなる」という伝承がある、ギリシャ神話の海神トリトンの顔が刻まれた石の彫刻の名前は『何の口』でしょう？,『真実の口』
178,慣用句で、気が小さく非常に臆病なことを、ある虫の名を用いて「何の心臓」というでしょう？,蚤の心臓
179,現在、党委員長を金正恩が務めている、北朝鮮において事実上の一党独裁制を堅持している政党は何党でしょう？(36%),朝鮮労働党
180,全日本剣道連盟が現在統轄している3つの武道とは、剣道、居合道と何でしょう？(22%),杖道
181,すりおろした山芋に、うるち米の粉や砂糖などを練り合わせて蒸して作られる、鹿児島県名産の和菓子は何でしょう？(34%),軽羹
182,代表作に『グレート・ギャツビー』『夜はやさし』などがある、アメリカの「失われた世代」を代表する作家は誰でしょう？(26%),F・スコット・フィッツジェラルド
183,英語では「スターアニス」と呼ばれる、ダイウイキョウの果実を乾燥させて作る中華料理の香辛料を、その形から日本では一般に何というでしょう？(39%),八角
184,女優のマリリン・モンローやキャンベル社のスープ缶などを題材にシルクスクリーンの作品を多く残した、ポップアートを代表するアメリカの芸術家は誰でしょう？(32%),アンディ・ウォーホル
185,太平洋戦争の激戦地となった島の1つで、日本軍に餓死者が多数出たことから「餓島」とも呼ばれていた、現在ソロモン諸島に属し同国の首都ホニアラがある島は何島でしょう？(35%),ガダルカナル島
186,焼き上がりを美しくするため、魚を焼く直前につける塩を何塩というでしょう？(35%),化粧塩
187,デルタ航空、CNNテレビ、コカ・コーラなどが本社を置く、アメリカ・ジョージア州の州都はどこでしょう？(30%),アトランタ
188,英語では「diffraction」という、波が障害物に遮られた時、その影の部分に回りこんで伝播する現象のことを何というでしょう？(34%),回折
189,ndを表す記号「&」や、加算を表す記号「+」の由来となった、アルファベット2文字のラテン語は何でしょう？(21%),et
190,世界一短い詩ともいわれる、詩人・草野心平の「●」1文字だけという、蛙をテーマとした詩の題名は何でしょう？(31%),『冬眠』
191,日本語では「参考調査」ともいう、図書館で資料を求める利用者に対して文献の紹介や提供を行うサービスを英語で何というでしょう？(30%),レファレンスサービス
192,日本三名園のうち、偕楽園は茨城県にありますが、後楽園はどこの都道府県にあるでしょう？(38%),岡山県
193,クラリネットやトランペットのように、楽譜に記されている音と実際に鳴らす音の高さが異なる楽器を何楽器というでしょう？(21%),移調楽器
194,江戸時代中期に流行した、刀の鞘に反射させることで正常に見えるようになる歪んだ絵を漢字2文字で何というでしょう？(29%),鞘絵
195,マオリ語では「テ・ワンガヌイ＝ア＝タラ」や「ポネケ」と呼ばれる、ニュージーランドの首都はどこでしょう？(34%),ウェリントン
196,硬式卓球で使用される国際卓球連盟公認球は、直径何mmと表記されているでしょう？(29%),40
197,ポルシェやスバルが生産している「水平対向エンジン」を、ピストンの動きがあるスポーツの選手の動きに似ていることから何エンジンと呼ぶでしょう？(34%),ボクサーエンジン
198,ルー・ゲーリッグやスティーヴン・ホーキングが罹患者として知られる、重篤な筋力の低下をきたす難病「筋萎縮性側索硬化症」を、アルファベット3文字の略称で何というでしょう？(39%),ALS
199,日本の内閣総理大臣の第3代と第9代を歴任した長州藩の人物で、在任中に日本陸軍の基礎を築き上げ「国軍の父」と称された人物は誰でしょう？(34%),山縣有朋
200,現在日本で通常発行されている五百円硬貨に描かれている3種類の植物とは、竹、橘と、あと1つは何でしょう？(35%),桐
201,ある物質の気体・液体・固体の三相が共存する温度と圧力のことを日本語で何というでしょう？(34%),三重点
202,ニューヨーク近代美術館に勤務していた経歴を持ち、そのペンネームはゴヤの描いた油絵のタイトルに由来する、代表作に『ジヴェルニーの食卓』『楽園のカンヴァス』などがある小説家は誰でしょう？(26%),原田マハ
203,モンマルトルの酒場「シャ・ノワール」でピアニストを務めていたこともある、代表作に『ピカデリー』『ジュ・トゥ・ヴー』『ジムノペディ』などのピアノ曲があるフランスの作曲家は誰でしょう？(34%),エリック・サティ
204,その名は「鴨の籠」という意味のオランダ語に由来する、鳥が仲間に寄って来る習性を利用するために囮として使う狩猟用の鳥の模型を何というでしょう？(34%),デコイ
205,毎年春と秋に「学術芸術上の発明改良創作に関し事績著明なる者」に授与され、俳優の三船敏郎や水泳選手の北島康介などがこれまでに受章している日本の褒章は何でしょう？(35%),紫綬褒章
206,日本における一般的な表現で、作曲者はコンポーザーと呼ばれますが、編曲者は何という英単語を用いて呼ばれるでしょう？(35%),アレンジャー
207,1976年に角川映画の第1回作品として公開された、横溝正史が原作、市川崑が監督、石坂浩二が主演の金田一耕助役をそれぞれ務めた映画は何でしょう？(33%),『犬神家の一族』
208,ボードゲーム「カルカソンヌ」「カタンの開拓者たち」が生まれた国はどこでしょう？(40%),ドイツ
209,日本の国立国会図書館の本館は、原則満何歳以上が利用の要件とされているでしょう？(40%),18
210,別名を「クライモグラフ」といい、ケッペンの気候区分の判別などに使われる、縦軸に気温、横軸に降水量をとって各月の値を順に結ぶグラフを、「水」と「熱」を意味するギリシャ語の接頭辞を組み合わせた言葉で何グラフというでしょう？(26%),ハイサーグラフ
211,マラソンの給水所に主催者側が用意したドリンクのことを、各選手が自ら用意した「スペシャルドリンク」に対して一般に何ドリンクというでしょう？(29%),ゼネラルドリンク
212,"南極探検を支援したアメリカ・ジョージア州の下院議員にちなんで名付けられた、標高4,892mの南極大陸最高峰は何でしょう？(21%)",ヴィンソン・マシフ
